date,nav,cash,cash_weight,holdings,locked_today,daily_return
2024-11-26,3.187892008992466,-1.1102230246251565e-16,-3.482624321945092e-17,20,0,-0.002060679853566949
2024-11-27,3.1864391949677935,-1.1102230246251565e-16,-3.484212177588338e-17,20,0,-0.0004557287450687175
2024-11-28,3.21318833849811,-1.1102230246251565e-16,-3.455206815371708e-17,20,0,0.008394681929773107
2024-11-29,3.2447636370034827,-1.1102230246251565e-16,-3.421583661639034e-17,20,0,0.009826781121747619
2024-12-02,3.292041725769719,-1.1102230246251565e-16,-3.3724451787304517e-17,20,0,0.01457058018866908
2024-12-03,3.2766962223118377,-1.1102230246251565e-16,-3.388239096030241e-17,20,0,-0.004661393972548611
2024-12-04,3.229970243340733,-1.1102230246251565e-16,-3.437254652466586e-17,20,0,-0.014260088760421508
2024-12-05,3.263768217558299,-1.1102230246251565e-16,-3.401660138279489e-17,20,0,0.010463865506887382
2024-12-06,3.287914338594559,-1.1102230246251565e-16,-3.37667867922535e-17,20,0,0.0073982340125622326
2024-12-09,3.302308938595919,-1.1102230246251565e-16,-3.361959905232861e-17,20,0,0.00437803376821333
2024-12-10,3.3280065893243247,-1.1102230246251565e-16,-3.336000079406579e-17,20,0,0.00778172218476092
2024-12-11,3.3888200302283487,4.7704895589362195e-18,1.4077140468904659e-18,20,0,0.018273233322044113
2024-12-12,3.4421902117492893,4.7704895589362195e-18,1.3858878404374698e-18,20,0,0.015748898154778868
2024-12-13,3.413815855366028,4.7704895589362195e-18,1.3974068201240836e-18,20,0,-0.008243111111759793
2024-12-16,3.3788092404452867,4.7704895589362195e-18,1.4118848444689129e-18,20,0,-0.010254394614084283
2024-12-17,3.3064451446299117,4.7704895589362195e-18,1.442785030528664e-18,20,0,-0.02141704093535579
2024-12-18,3.2920847908967286,4.7704895589362195e-18,1.449078581489631e-18,20,0,-0.004343139869266044
2024-12-19,3.2566859317626826,4.7704895589362195e-18,1.4648294796895536e-18,20,0,-0.010752717922676513
2024-12-20,3.2836984302059546,4.7704895589362195e-18,1.452779437677233e-18,20,0,0.008294474508523386
2024-12-23,3.2398819212757353,0.0,0.0,20,0,-0.013343645849802077
2024-12-24,3.254539375096617,0.0,0.0,20,0,0.004524070375722333
2024-12-25,3.2260209470103236,0.0,0.0,20,0,-0.008762661869914257
2024-12-26,3.2509538729512304,0.16429383802180847,0.05053711754841412,19,0,0.007728693133258524
2024-12-27,3.2479399824646147,0.16429383802180847,0.05058401291551526,19,0,-0.0009270788219088999
2024-12-30,3.2440111331327337,0.16429383802180847,0.05064527564156363,19,0,-0.0012096434518780175
2024-12-31,3.212132879042841,0.0,0.0,20,0,-0.00982680169137018
2025-01-02,3.1907881745439353,0.0,0.0,20,0,-0.00664502537804923
2025-01-03,3.175930980650382,0.0,0.0,20,0,-0.004656277095447359
2025-01-06,3.144412744723831,0.0,0.0,20,1,-0.009924093476394225
2025-01-07,3.151972314652411,0.0,0.0,20,0,0.002404127747308138
2025-01-08,3.1137536250564875,0.10703386005155571,0.03437454369872118,19,0,-0.012125325282287047
2025-01-09,3.1254489668507994,0.10703386005155571,0.03424591512668433,19,0,0.003756026713288785
2025-01-10,3.1008919637828964,0.10703386005155571,0.03451712000987646,19,0,-0.007857112155200685
2025-01-13,3.1001073794880374,-1.6653345369377348e-16,-5.371860819907322e-17,20,0,-0.00025301890682505324
2025-01-14,3.1689887643321053,-1.6653345369377348e-16,-5.255097637711947e-17,20,0,0.022219031927675825
2025-01-15,3.183556927436555,-1.6653345369377348e-16,-5.231049969879715e-17,20,0,0.004597101532330727
2025-01-16,3.176653326902531,-1.6653345369377348e-16,-5.242418248268713e-17,20,0,-0.0021685180103195867
2025-01-17,3.18394524734621,-1.6653345369377348e-16,-5.230411981254314e-17,20,0,0.00229547252825002
2025-01-20,3.205024783765979,-1.6653345369377348e-16,-5.196011417362357e-17,20,0,0.006620571266839015
2025-01-21,3.2054023844614834,-2.7755575615628914e-16,-8.658998867092915e-17,20,0,0.00011781521859588473
2025-01-22,3.186783423695126,-2.7755575615628914e-16,-8.709589553295054e-17,20,0,-0.005808618866890103
2025-01-23,3.194674429102672,0.1549245185282203,0.04849461876831558,19,0,0.0024761662022192432
2025-01-24,3.2084431257772326,0.1549245185282203,0.048286509205517074,19,0,0.004309890406712924
2025-01-27,3.193013343497265,0.1549245185282203,0.048519846884990954,19,0,-0.004809118215623576
2025-02-05,3.2035942587148227,0.1549245185282203,0.04835959426096954,19,0,0.003313771061779658
2025-02-06,3.23888955684127,0.1549245185282203,0.04783260306020147,19,0,0.011017405849830242
2025-02-07,3.251744597500333,0.1549245185282203,0.04764350762581822,19,0,0.003968965422705084
2025-02-10,3.2660254952489023,0.1549245185282203,0.04743518345266732,19,0,0.004391764888161065
2025-02-11,3.2527569384625754,-3.653615691464634e-17,-1.123236614535215e-17,20,0,-0.004062600492748314
2025-02-12,3.258973596624907,-3.653615691464634e-17,-1.1210939834702651e-17,20,0,0.0019111966494704813
2025-02-13,3.2472733924645794,-3.653615691464634e-17,-1.1251333811138253e-17,20,0,-0.003590150031422379
2025-02-14,3.243650381687728,-3.653615691464634e-17,-1.1263901042144973e-17,20,0,-0.0011157085773125797
2025-02-17,3.256876713722353,-3.653615691464634e-17,-1.1218157801524024e-17,20,0,0.004077607164229224
2025-02-18,3.231158634985966,-3.653615691464634e-17,-1.1307447588318432e-17,20,0,-0.007896546598779142
2025-02-19,3.2528877468186104,-3.653615691464634e-17,-1.1231914458277705e-17,20,0,0.006724866924628481
2025-02-20,3.2697520674844758,-3.653615691464634e-17,-1.1173983886415817e-17,20,0,0.005184415196115788
2025-02-21,3.27984889208834,8.716985466783456e-17,2.6577399610727772e-17,20,0,0.003087948075412239
2025-02-24,3.2899824197338208,8.716985466783456e-17,2.6495538135698342e-17,20,0,0.00308963247359495
2025-02-25,3.289815883387337,8.716985466783456e-17,2.6496879387086154e-17,20,0,-5.061922078519743e-05
2025-02-26,3.3325566425595765,8.716985466783456e-17,2.6157051182446994e-17,20,0,0.01299183926616343
2025-02-27,3.311632362079434,8.716985466783456e-17,2.6322322388798928e-17,20,0,-0.006278747137534513
2025-02-28,3.270032230345295,8.716985466783456e-17,2.66571851674471e-17,20,0,-0.012561820632776222
2025-03-03,3.2508941474663557,-7.37257477290143e-17,-2.267860606488028e-17,20,0,-0.005852567048526658
2025-03-04,3.2678975416444205,-7.37257477290143e-17,-2.2560605646135154e-17,20,0,0.005230374600574628
2025-03-05,3.2681111814644543,-7.37257477290143e-17,-2.2559130835927523e-17,20,0,6.537531159134247e-05
2025-03-06,3.3343784593943218,-7.37257477290143e-17,-2.2110791749298407e-17,20,1,0.020276934978745942
2025-03-07,3.329662592483234,-7.37257477290143e-17,-2.2142107700477324e-17,20,1,-0.0014143166315753186
2025-03-10,3.35143007568922,-7.37257477290143e-17,-2.1998295075230724e-17,20,1,0.0065374441407746176
2025-03-11,3.3440546305524914,-1.6653345369377348e-16,-4.9799860376760496e-17,21,1,-0.0022006859669335688
2025-03-12,3.338903036316438,-1.6653345369377348e-16,-4.9876696592392626e-17,21,1,-0.0015405233482091996
2025-03-13,3.365276187695134,0.1303303423508205,0.03872797805641127,20,0,0.007898747310671084
2025-03-14,3.404831421127089,0.1303303423508205,0.03827806027109493,20,0,0.011753933771197156
2025-03-17,3.392194871409192,0.1303303423508205,0.038420653084909134,20,0,-0.0037113584066120753
2025-03-18,3.385525212516266,0.1303303423508205,0.03849634374867156,20,0,-0.0019661779896964493
2025-03-19,3.368184225366863,0.1303303423508205,0.03869454092482869,20,0,-0.005122096590890357
2025-03-20,3.3524656815687144,0.256308801000385,0.07645381797926439,19,0,-0.004666770801836528
2025-03-21,3.3238727435070303,-1.6653345369377348e-16,-5.010223511687858e-17,20,0,-0.008528927892948568
2025-03-24,3.286915057012337,-1.6653345369377348e-16,-5.066557875856553e-17,20,0,-0.011118863249770183
2025-03-25,3.2968926720606277,-1.6653345369377348e-16,-5.051224600213829e-17,20,0,0.0030355560990249497
2025-03-26,3.321789651983247,-1.6653345369377348e-16,-5.013365418678635e-17,20,0,0.007551650113941433
2025-03-27,3.325401420462989,-1.6653345369377348e-16,-5.007920327122112e-17,20,0,0.0010872959633629886
2025-03-28,3.302267857194143,-1.6653345369377348e-16,-5.043002593837828e-17,20,1,-0.006956622778378829
2025-03-31,3.2934879960108367,-1.6653345369377348e-16,-5.056446354001696e-17,20,1,-0.0026587368326826955
2025-04-01,3.34546494195198,-1.1102230246251565e-16,-3.318591119288113e-17,20,0,0.015781732316650032
2025-04-02,3.351140592113132,-1.1102230246251565e-16,-3.312970596453198e-17,20,0,0.0016965205911978476
2025-04-03,3.346455795065616,-1.1102230246251565e-16,-3.3176085166347986e-17,20,0,-0.001397970905351209
2025-04-07,3.185912208653601,-1.1102230246251565e-16,-3.4847885061288244e-17,20,0,-0.0479742139874485
2025-04-08,3.2643303275255278,-1.1102230246251565e-16,-3.401074380443424e-17,20,0,0.024614023782239425
2025-04-09,3.2978062298095643,-1.1102230246251565e-16,-3.3665502071941556e-17,20,0,0.010255059667755084
2025-04-10,3.3439866412801504,-1.1102230246251565e-16,-3.320058193175494e-17,20,0,0.014003373228284932
2025-04-11,3.315625885413901,-5.551115123125783e-16,-1.6742284307606126e-16,20,0,-0.008481121161235339
2025-04-14,3.3501868295978157,-5.551115123125783e-16,-1.6569568819516208e-16,20,0,0.01042365615974794
2025-04-15,3.323518684781034,-5.551115123125783e-16,-1.6702524190838153e-16,20,0,-0.00796019630343514
2025-04-16,3.309789188948873,-5.551115123125783e-16,-1.677180873531318e-16,20,0,-0.004131012079165108
2025-04-17,3.313820932268656,-5.551115123125783e-16,-1.6751403399837497e-16,20,0,0.001218126922779339
2025-04-18,3.3099918445597516,-5.551115123125783e-16,-1.6770781874431216e-16,20,0,-0.0011554902293053892
2025-04-21,3.323644613595485,-5.551115123125783e-16,-1.670189135269984e-16,20,0,0.004124713798969948
2025-04-22,3.337895087764305,-1.4311468676808659e-16,-4.28757294657645e-17,20,0,0.004287604670646372
2025-04-23,3.352465409091168,-1.4311468676808659e-16,-4.268938506568635e-17,20,0,0.004365122612832506
2025-04-24,3.333578694097984,-1.4311468676808659e-16,-4.293124593742679e-17,20,0,-0.0056336793041823485
2025-04-25,3.327571837350837,-1.4311468676808659e-16,-4.300874444292201e-17,20,0,-0.0018019243876804536
