start_date,end_date,return,universe_size
2021-02-23,2021-03-11,0.003971105961782335,326
2021-03-11,2021-03-23,0.02133184151944927,330
2021-03-23,2021-03-31,-0.013694200707756794,330
2021-03-31,2021-04-13,-0.0009398928835954415,332
2021-04-13,2021-04-21,0.020991802913395037,336
2021-04-21,2021-05-06,-0.0007197269995315396,341
2021-05-06,2021-05-11,0.027273511902156686,346
2021-05-11,2021-05-21,0.004611573626653128,347
2021-05-21,2021-06-01,0.02357109198013716,352
2021-06-01,2021-06-11,0.0039399758757415115,353
2021-06-11,2021-06-22,-0.00813561287016262,354
2021-06-22,2021-07-01,0.019614570263410114,351
2021-07-01,2021-07-13,0.03316966914204397,354
2021-07-13,2021-07-21,0.006946646457467484,356
2021-07-21,2021-08-02,0.0186345786298469,355
2021-08-02,2021-08-11,0.02455433481803283,354
2021-08-11,2021-08-23,-0.0047059510660604756,355
2021-08-23,2021-08-31,0.03506795408968835,355
2021-08-31,2021-09-13,0.028298083438916256,356
2021-09-13,2021-09-23,-0.017592276455603916,360
2021-09-23,2021-10-08,-0.01933812180978118,357
2021-10-08,2021-10-12,-0.0036182289513964783,359
2021-10-12,2021-10-21,0.010278320188654015,359
2021-10-21,2021-11-11,0.037366259276894055,357
2021-11-11,2021-11-23,0.046854668555004406,356
2021-11-23,2021-12-01,0.014443712082345067,356
2021-12-01,2021-12-13,-0.005276514191066671,358
2021-12-13,2021-12-21,-0.00770045817210392,363
2021-12-21,2021-12-31,0.017036884298823548,362
2021-12-31,2022-01-11,0.009731975928273465,365
2022-01-11,2022-01-21,-0.010294751646605248,367
2022-01-21,2022-02-11,-0.0007376354569627023,370
2022-02-11,2022-02-22,-0.027318026395001478,366
2022-02-22,2022-03-01,0.019957480947069502,367
2022-03-01,2022-03-11,-0.07067340224944064,367
2022-03-11,2022-03-22,0.02297607761178123,369
2022-03-22,2022-03-31,-0.025362350939884485,369
2022-03-31,2022-04-12,-0.01795653053581384,374
2022-04-12,2022-04-21,0.014453139330766583,376
2022-04-21,2022-05-11,-0.00037520058275279823,382
2022-05-11,2022-05-23,0.03805560517108689,387
2022-05-23,2022-05-31,-0.008796087049538357,392
2022-05-31,2022-06-13,0.02911148003097881,397
2022-06-13,2022-06-21,0.009225794851617399,393
2022-06-21,2022-07-01,0.027630719135665095,392
2022-07-01,2022-07-12,-0.012921708536784588,391
2022-07-12,2022-07-21,0.023873516752601458,391
2022-07-21,2022-08-11,0.019918126845812595,394
2022-08-11,2022-08-23,-0.008108558322139255,397
2022-08-23,2022-08-31,-0.037431448850633854,404
2022-08-31,2022-09-14,-0.0018465308160417041,407
2022-09-14,2022-09-21,-0.022647651353469706,409
2022-09-21,2022-10-10,-0.028135749324834935,411
2022-10-10,2022-10-11,-0.007530710297317348,410
2022-10-11,2022-10-21,0.04090268508570433,410
2022-10-21,2022-11-01,-0.026221487156523414,414
2022-11-01,2022-11-11,0.03693652947023758,422
2022-11-11,2022-11-22,-0.02425975427358665,427
2022-11-22,2022-12-01,0.012854653959294084,433
2022-12-01,2022-12-13,-0.0008641232413236376,435
2022-12-13,2022-12-21,-0.03846342658624825,438
2022-12-21,2023-01-03,-0.0021895948200237477,439
2023-01-03,2023-01-11,0.030870453646336855,437
2023-01-11,2023-01-30,0.030080567997811176,444
2023-01-30,2023-01-31,0.0022102912752600323,446
2023-01-31,2023-02-13,0.007911328270258911,445
2023-02-13,2023-02-21,-0.007879156598560831,445
2023-02-21,2023-03-01,-0.005125523538420426,445
2023-03-01,2023-03-13,-0.0031733511535329824,444
2023-03-13,2023-03-21,0.0013144685182799195,440
2023-03-21,2023-03-31,0.0037624536188629134,439
2023-03-31,2023-04-11,0.011525661459386964,440
2023-04-11,2023-04-21,-0.010238793505172547,441
2023-04-21,2023-05-11,-0.022372289071298426,449
2023-05-11,2023-05-23,0.003785617495923666,460
2023-05-23,2023-05-31,-0.0023107095657658185,463
2023-05-31,2023-06-13,0.017146934696742378,464
2023-06-13,2023-06-21,0.008359528450963723,463
2023-06-21,2023-07-03,-0.0006535563410163679,462
2023-07-03,2023-07-11,0.00045840350092313025,458
2023-07-11,2023-07-21,-0.0034544359935594878,460
2023-07-21,2023-08-01,0.013598410910383305,464
2023-08-01,2023-08-11,-0.005802097343694912,462
2023-08-11,2023-08-22,-0.013047660007362384,472
2023-08-22,2023-08-31,-0.0013045801173497678,484
2023-08-31,2023-09-12,-0.00862632686458784,491
2023-09-12,2023-09-21,-0.016711349975970603,494
2023-09-21,2023-10-11,0.009605770047872452,498
2023-10-11,2023-10-23,-0.041103544683056124,497
2023-10-23,2023-10-31,0.028369778419509373,499
2023-10-31,2023-11-13,0.0047903787374195175,499
2023-11-13,2023-11-21,0.006954344724691979,503
2023-11-21,2023-12-01,-0.01942178365325198,504
2023-12-01,2023-12-12,0.0001363654789426443,505
2023-12-12,2023-12-21,-0.02441985609647746,505
2023-12-21,2024-01-11,-0.005377825711691577,504
2024-01-11,2024-01-23,-0.042467356005366705,504
2024-01-23,2024-01-31,-0.006901250762954003,513
2024-01-31,2024-02-20,0.0012317518922111306,511
2024-02-20,2024-02-21,0.006142628262907901,511
2024-02-21,2024-03-01,0.013553142747569719,511
2024-03-01,2024-03-12,-0.0009447416401501679,512
2024-03-12,2024-03-21,0.024222134859643574,507
2024-03-21,2024-04-11,-0.011463541481589547,504
2024-04-11,2024-04-23,-0.01511749468952216,496
2024-04-23,2024-05-06,0.030086673372990338,495
2024-05-06,2024-05-13,0.020950444255594933,494
2024-05-13,2024-05-21,0.00537525871081417,492
2024-05-21,2024-05-31,-0.008220990640684675,492
2024-05-31,2024-06-12,-0.014881267975960613,491
2024-06-12,2024-06-21,-0.02524626466287615,490
2024-06-21,2024-07-11,-0.015268239333689983,487
2024-07-11,2024-07-23,-0.0206519267571479,485
2024-07-23,2024-07-31,-0.015242898577528304,486
2024-07-31,2024-08-13,-0.002096763441524515,488
2024-08-13,2024-08-21,-0.03488909848643757,488
2024-08-21,2024-09-02,0.031654784940702764,489
2024-09-02,2024-09-11,-0.011043448789373007,490
2024-09-11,2024-09-23,-0.013554296598921805,494
2024-09-23,2024-10-08,0.1791853380424729,495
2024-10-08,2024-10-11,-0.07724002014532629,494
