date,bond_code,side,reason,price,quantity,notional,fee
2018-02-23,110033,sell,rebalance,120.3,0.00043272033368083144,0.05205625614180402,5.205625614180402e-05
2018-02-23,110039,sell,rebalance,124.0,0.00040772268795827765,0.05055761330682643,5.055761330682643e-05
2018-02-23,113503,sell,rebalance_resize,105.37,6.773108354505257e-06,0.0007136824273142189,7.13682427314219e-07
2018-02-23,123002,sell,rebalance_resize,109.28,8.61944694035363e-08,9.419331616418447e-06,9.419331616418448e-09
2018-02-23,123007,sell,rebalance_resize,119.4,2.1427345772637685e-05,0.0025584250852529397,2.55842508525294e-06
2018-02-23,113009,sell,rebalance_resize,112.0,9.931922093230866e-07,0.0001112375274441857,1.112375274441857e-07
2018-02-23,128022,sell,rebalance_resize,116.45,1.383345861234563e-05,0.0016109062554076486,1.6109062554076486e-06
2018-02-23,113017,buy,rebalance,100.35,6.622590649633209e-06,0.0006645769716906925,6.645769716906925e-07
2018-02-23,110041,buy,rebalance,101.1,2.6686374223476975e-06,0.0002697992433993522,2.697992433993522e-07
2018-02-23,123005,buy,rebalance,111.666,4.017860452909902e-06,0.00044865840533463706,4.486584053346371e-07
2018-02-23,128030,buy,rebalance,104.71,1.8002460441887347e-06,0.0001885037632870024,1.885037632870024e-07
2018-02-23,128034,buy,rebalance,98.26,0.0005102938387096267,0.05014147259160792,5.0141472591607923e-05
2018-02-23,128032,buy,rebalance,98.911,5.664738151983587e-06,0.0005603049153508486,5.603049153508486e-07
2018-02-23,113018,buy,rebalance,105.96,5.676311301712127e-06,0.000601461945529417,6.01461945529417e-07
2018-02-23,128025,buy,rebalance,99.007,6.624720220814926e-06,0.0006558936749022234,6.558936749022234e-07
2018-02-23,128026,buy,rebalance,95.78,2.840920109544455e-06,0.0002721033280921679,2.721033280921679e-07
2018-02-23,128015,buy,rebalance,101.219,1.985414672664373e-06,0.00020096168775241517,2.0096168775241518e-07
2018-02-23,128027,buy,rebalance,103.0,1.5654903133528435e-05,0.0016124550227534287,1.6124550227534287e-06
2018-02-23,113016,buy,rebalance,96.67,5.060633170067726e-06,0.0004892114085504471,4.892114085504471e-07
2018-02-23,128018,buy,rebalance,95.05,5.958696700967412e-06,0.0005663741214269525,5.663741214269525e-07
2018-02-23,128014,buy,rebalance,102.55,5.7461759560128535e-06,0.0005892703442891181,5.892703442891181e-07
2018-02-23,123004,buy,rebalance,102.02,0.000491486694683473,0.05014147259160792,5.0141472591607923e-05
2018-03-01,113016,sell,rebalance,97.88,0.0005192245583249286,0.05082169976884401,5.0821699768844006e-05
2018-03-01,113009,sell,rebalance,111.14,0.00044816026835776544,0.04980853222528205,4.9808532225282056e-05
2018-03-01,113017,sell,rebalance_resize,101.11,1.3172146490624428e-06,0.0001331835731667036,1.331835731667036e-07
2018-03-01,128032,sell,rebalance_resize,99.82,2.148221584078128e-06,0.00021443547852267875,2.1443547852267874e-07
2018-03-01,113503,sell,rebalance_resize,106.2,1.4041322837962264e-06,0.00014911884853915924,1.4911884853915924e-07
2018-03-01,128027,sell,rebalance_resize,104.51,4.668276709628633e-06,0.0004878815989232885,4.878815989232884e-07
2018-03-01,128015,sell,rebalance_resize,104.136,1.1523861742858572e-05,0.0012000488664543202,1.2000488664543203e-06
2018-03-01,128022,sell,rebalance_resize,118.999,7.163483887453589e-06,0.0008524474191230896,8.524474191230896e-07
2018-03-01,123002,sell,rebalance_resize,111.112,5.356811648979767e-06,0.0005952060559414399,5.952060559414399e-07
2018-03-01,128014,sell,rebalance_resize,103.091,1.7380597581043742e-07,1.7917831852273802e-05,1.7917831852273803e-08
2018-03-01,123004,sell,rebalance_resize,104.061,6.76898876996731e-06,0.0007043877403915683,7.043877403915683e-07
2018-03-01,110041,buy,rebalance,100.8,3.923453787088475e-06,0.00039548414173851826,3.9548414173851826e-07
2018-03-01,128030,buy,rebalance,103.01,1.0303542294680278e-05,0.0010613678917750155,1.0613678917750155e-06
2018-03-01,123005,buy,rebalance,111.303,3.6827034587729137e-06,0.0004098959430718016,4.098959430718016e-07
2018-03-01,128034,buy,rebalance,98.551,1.5245009831752387e-06,0.00015024109639290295,1.5024109639290296e-07
