date,nav,cash,cash_weight,holdings,locked_today,daily_return
2023-04-26,4.482195429183953,-1.1102230246251565e-16,-2.476962555885896e-17,20,0,0.015078205153980617
2023-04-27,4.445988098223552,-1.1102230246251565e-16,-2.4971344954089272e-17,20,0,-0.008078034867612494
2023-04-28,4.516048347345614,-1.1102230246251565e-16,-2.458394904646469e-17,20,0,0.015758082922006755
2023-05-04,4.51814801763507,-1.1102230246251565e-16,-2.4572524412475524e-17,20,0,0.0004649352991736855
2023-05-05,4.505760506626191,-1.1102230246251565e-16,-2.4640080692093103e-17,20,0,-0.0027417231486283056
2023-05-08,4.512045117213381,-1.1102230246251565e-16,-2.4605760709033543e-17,20,1,0.001394794636321084
2023-05-09,4.432441936949845,-1.1102230246251565e-16,-2.5047660869961653e-17,20,1,-0.017642372404444995
2023-05-10,4.457216423949945,-1.1102230246251565e-16,-2.4908438788379203e-17,20,0,0.005589353984216894
2023-05-11,4.4629594016678205,-8.881784197001252e-16,-1.9901109101915882e-16,20,0,0.0012884673239146327
2023-05-12,4.389927155972037,-8.881784197001252e-16,-2.0232190379101195e-16,20,0,-0.0163640847076697
2023-05-15,4.419962014716991,-8.881784197001252e-16,-2.0094707075372798e-16,20,0,0.006841766999275745
2023-05-16,4.44237485543402,-8.881784197001252e-16,-1.9993324485296058e-16,20,0,0.0050708220211850286
2023-05-17,4.49412112522275,-8.881784197001252e-16,-1.9763117080118814e-16,20,0,0.011648334837262464
2023-05-18,4.515581088022869,-8.881784197001252e-16,-1.966919433815352e-16,20,0,0.004775118916950705
2023-05-19,4.504363149966238,-8.881784197001252e-16,-1.9718179687771898e-16,20,0,-0.0024842734164126634
2023-05-22,4.499097139608209,-8.881784197001252e-16,-1.9741259015747095e-16,20,0,-0.0011690909863847354
2023-05-23,4.4685052360673625,-5.273559366969494e-16,-1.1801618412358945e-16,20,0,-0.006799565021952558
2023-05-24,4.464058708056614,0.20784412660166296,0.046559451878746896,19,0,-0.000995081750124971
2023-05-25,4.463324492281598,0.20784412660166296,0.046567110897064876,19,0,-0.00016447269694075395
2023-05-26,4.47366057769159,0.20784412660166296,0.0464595207866464,19,0,0.002315781751442536
2023-05-29,4.448771705523855,0.20784412660166296,0.0467194408613037,19,0,-0.005563424344673384
2023-05-30,4.454756263581596,0.20784412660166296,0.04665667756075112,19,0,0.0013452158154823035
2023-05-31,4.447156326076243,-8.049116928532385e-16,-1.8099469275086573e-16,20,0,-0.0017060276827004506
2023-06-01,4.456451372340053,-8.049116928532385e-16,-1.8061718295617453e-16,20,0,0.00209011007985227
2023-06-02,4.505831880699347,-8.049116928532385e-16,-1.7863775528356124e-16,20,0,0.011080679274497296
2023-06-05,4.50520936129298,-8.049116928532385e-16,-1.7866243903529303e-16,20,0,-0.00013815859598165225
2023-06-06,4.472354905987364,-8.049116928532385e-16,-1.7997491473131148e-16,20,0,-0.007292547953018258
2023-06-07,4.474342070406628,-8.049116928532385e-16,-1.7989498348303265e-16,20,0,0.0004443217188787596
2023-06-08,4.470202275220564,-8.049116928532385e-16,-1.8006158184721592e-16,20,0,-0.0009252299267515918
2023-06-09,4.488120050927715,-8.049116928532385e-16,-1.793427278503523e-16,20,0,0.004008269560076272
2023-06-12,4.522653229534098,-8.049116928532385e-16,-1.7797333821592963e-16,20,0,0.007694352694341378
2023-06-13,4.523142524472525,-1.1102230246251565e-16,-2.4545391143840363e-17,20,0,0.00010818758670927409
2023-06-14,4.540180231792283,-1.1102230246251565e-16,-2.445328088191082e-17,20,0,0.003766785421324803
2023-06-15,4.574233685496574,-1.1102230246251565e-16,-2.427123537971655e-17,20,0,0.007500462969693311
2023-06-16,4.623625707605444,-1.1102230246251565e-16,-2.401195717029907e-17,20,0,0.010797879055780779
2023-06-19,4.618302806475106,-1.1102230246251565e-16,-2.4039632547882412e-17,20,0,-0.0011512396259892865
2023-06-20,4.622425439562988,-1.1102230246251565e-16,-2.4018192162124285e-17,20,0,0.0008926727546105795
2023-06-21,4.58349233760222,-4.2283884726934673e-16,-9.225254808444778e-17,20,0,-0.008422656561973385
2023-06-26,4.542917832669432,-4.2283884726934673e-16,-9.307649023026361e-17,20,0,-0.008852312155061548
2023-06-27,4.599634186457187,-4.2283884726934673e-16,-9.192879914544538e-17,20,0,0.012484565179649687
2023-06-28,4.613334556310526,-4.2283884726934673e-16,-9.165579519719645e-17,20,0,0.0029785781429483293
2023-06-29,4.675622137321908,-4.2283884726934673e-16,-9.043477741585409e-17,20,0,0.013501639703580537
2023-06-30,4.685901746547274,-4.2283884726934673e-16,-9.023638781605018e-17,20,0,0.0021985543150100373
2023-07-03,4.694406160506407,-1.3747683547116196e-16,-2.9285245198368544e-17,20,0,0.001814893785470284
2023-07-04,4.710382810932481,-1.3747683547116196e-16,-2.918591566530166e-17,20,0,0.003403337904692716
2023-07-05,4.702482953809561,-1.3747683547116196e-16,-2.9234946053295024e-17,20,0,-0.001677115733478285
2023-07-06,4.703499862197816,-1.3747683547116196e-16,-2.9228625385123925e-17,20,0,0.00021624924497198883
2023-07-07,4.68581683944047,-1.3747683547116196e-16,-2.9338926420260584e-17,20,0,-0.0037595457160454204
2023-07-10,4.667861224787371,-1.3747683547116196e-16,-2.945178291529527e-17,20,0,-0.003831907065160234
2023-07-11,4.689639756371245,-5.551115123125783e-17,-1.1836975570637713e-17,20,0,0.004665633902787292
2023-07-12,4.665537673935561,-5.551115123125783e-17,-1.189812517030476e-17,20,0,-0.0051394315315882455
