date,jsl_official_index,replica_index,jsl_norm,replica_norm,jsl_daily_return,replica_daily_return,replica_minus_official_daily_return
2025-08-20,2497.852,2388.7023932885845,1.076283181798792,1.0753137038856333,0.0034000324577767582,0.0033208160211717352,-7.921643660502298e-05
2025-08-21,2507.893,2398.2376857610993,1.0806096828999148,1.0796061727570427,0.004019853858435285,0.003991829413034331,-2.8024445400953724e-05
2025-08-22,2530.314,2419.665375182177,1.0902705215801531,1.0892521998811535,0.00894017408238712,0.008934764701721942,-5.409380665177821e-06
2025-08-25,2544.256,2432.7735297720537,1.0962778991672313,1.0951530514492471,0.005509988088434836,0.00541734188715659,-9.264620127824585e-05
2025-08-26,2542.577,2431.158731324026,1.0955544457911948,1.0944261233459154,-0.0006599178698997177,-0.000663768504657658,-3.850634757940341e-06
2025-08-27,2460.452,2352.6282436064917,1.060168139354614,1.059074331572797,-0.03229990674815353,-0.03230167027175812,-1.7635236045920877e-06
2025-08-28,2460.698,2352.861504855439,1.0602741366926158,1.0591793379638332,9.998162939162114e-05,9.914921729814452e-05,-8.324120934766199e-07
2025-08-29,2443.67,2336.5803074528894,1.0529370526621489,1.0518500889406739,-0.006919987743315037,-0.006919743201608375,2.4454170666210473e-07
2025-09-01,2435.044,2328.1163737519655,1.0492202516962805,1.0480399098564337,-0.003529936529891642,-0.003622359425835664,-9.242289594402209e-05
2025-09-02,2404.143,2298.5679281622693,1.0359055210393944,1.0347381906634556,-0.012690119767856278,-0.012691996810312522,-1.8770424562442045e-06
2025-09-03,2406.691,2301.007640561187,1.0370034121663398,1.0358364673610747,0.001059837122833196,0.0010614053946487179,1.5682718155218822e-06
2025-09-04,2392.901,2287.709223312982,1.031061528869409,1.0298499659253322,-0.005729858964029888,-0.00577938856602922,-4.9529601999331874e-05
2025-09-05,2456.145,2348.1679386951782,1.0583123241726067,1.057066451893805,0.02642984394256187,0.02642762234207452,-2.221600487350983e-06
2025-09-08,2478.177,2369.141302995478,1.067805549176086,1.0665079570859395,0.008970154449350565,0.008931799108011784,-3.835534133878049e-05
2025-09-09,2447.423,2339.7509766179414,1.0545541583919082,1.0532774178591895,-0.012409928750044985,-0.012405476338779864,4.452411265121192e-06
2025-09-10,2428.7,2321.7377888303104,1.0464867268495996,1.0451684848530822,-0.007650087459339816,-0.007698762803240222,-4.8675343900406176e-05
2025-09-11,2466.636,2357.974247334641,1.062832722843245,1.06148092315409,0.015619878947585208,0.01560747241943572,-1.2406528149488949e-05
